地段位置或門牌,總價(萬元),總面積(坪),型態,屋齡,樓別/樓高,車位數,房間數,廳數,衛浴數,管理組織,電梯,公園,火車站,美術館,音樂廳,國民運動中心,捷運,博物館,醫院,圖書館,賣場,國小,國中,轉運站,工業區,汙水處理廠,垃圾區,發電廠,墓地,機場,殯儀館,高鐵,高速&快速道路,
臺中市西屯區太原路一段１３１號四樓之１,210,11.04,華廈(10層含以下有電梯),29,1,0,1,0,1,1,1,0.190894489,3.715945357,1.479222878,1.935365936,2.508647859,0.943263511,0.667060147,1.270295364,1.413611895,0.056479641,0.228462007,0.230786343,1.93536374,5.308442489,2.996543973,2.941944036,17.89550823,5.896464947,11.90488609,2.687047791,7.051069658,2.986845428,
臺中市西屯區四川路８７巷５８號六樓之１,360,12.83,住宅大樓(11層含以上有電梯),24,2,0,1,1,1,1,1,0.113289199,4.022199889,1.055202195,1.511036411,2.304480805,0.666825162,0.564454474,1.693675217,1.332716384,0.303382556,0.285819266,0.203330798,1.511034222,4.888150686,2.955728594,2.952469879,17.49222595,5.62495879,11.81235992,3.105197781,6.797758734,2.607949568,
臺中市西屯區文心路二段５６０之８號十三樓之１,1180,46.56,住宅大樓(11層含以上有電梯),24,3,0,4,2,2,1,1,0.167859728,4.030957689,0.494537805,0.942261715,1.819299615,0.309754078,0.920936005,1.065048569,0.779147045,0.199094327,0.309754078,0.620451694,0.942260362,4.190307258,2.521751038,2.518780205,16.88030906,5.630095446,12.22452378,3.915824609,5.860852655,1.9690619,
臺中市西屯區青海路二段１９３巷１之３號,810,35.29,華廈(10層含以下有電梯),30,1,0,3,2,2,1,1,0.177427164,5.3062406,0.925229362,0.866548771,1.229584507,0.770044606,1.736705609,2.279752486,0.545486508,0.201551349,0.561955181,0.809881443,0.866547258,3.834904673,3.884653223,2.643490199,16.29826798,4.378393469,10.84052766,4.268141314,7.017912425,1.365494669,
臺中市西屯區西屯路二段２４９之９巷１弄１０號九樓之２,825,29.04,住宅大樓(11層含以上有電梯),27,2,1,3,2,1,1,1,0.288117165,5.336735573,1.084124002,1.043207952,1.349809089,0.724056245,1.805943627,2.205421922,0.368415234,0.233666241,0.478289609,0.782231969,1.043206466,3.933503871,4.009768489,2.466992795,16.34537251,4.311530252,10.70472761,4.229303458,7.193420708,1.416299117,
臺中市西屯區至善路１２２號七樓之９,1100,46.35,住宅大樓(11層含以上有電梯),27,2,1,3,2,2,1,1,0.159519101,5.960134361,1.481313904,1.202653426,1.015270733,1.372481369,2.413688647,2.649852409,0.748343389,0.336058109,0.25018706,0.131629083,1.20265307,3.424173818,4.494108182,2.596341121,15.720421,3.70660737,10.28875059,4.329747587,7.315740991,0.839160305,
臺中市西屯區環中路二段１５７７號二十六樓之８,1040,29.75,住宅大樓(11層含以上有電梯),3,3,1,2,1,1,1,1,0.364338755,6.254623541,1.810473532,1.366109163,0.657072059,1.992765476,2.921345334,1.994160494,0.936272255,0.678074966,0.571668905,0.646853063,1.366110044,2.700823457,4.468019102,3.208225173,15.01970737,3.372037728,10.25830499,3.645374033,7.092896341,0.114678225,
臺中市西屯區寧夏路８９巷２２號十樓之１０,1220,54.31,住宅大樓(11層含以上有電梯),27,2,1,4,2,2,1,1,0.178027935,4.032332098,1.666024758,2.045603159,2.562491885,0.619887325,1.101264901,1.168069977,1.437886027,0.437060986,0.312896142,0.322336109,2.045600938,5.339153001,3.492678307,2.449255666,17.64654509,5.595578244,11.44991033,2.749341055,7.490899036,2.892484573,
臺中市西屯區四川東街６９號七樓之１,720,28.93,華廈(10層含以下有電梯),30,2,1,4,3,2,1,1,0.049798971,4.38848972,0.94753168,1.317802003,2.033666828,0.356352866,0.921240945,1.811886115,1.077285957,0.372995639,0.107605841,0.488247207,1.317799784,4.644792914,3.278336506,2.734968547,17.19853529,5.247399522,11.45811785,3.371780927,6.95252837,2.281952178,
臺中市西屯區市政路３８６號六樓之３,3257,109.4,住宅大樓(11層含以上有電梯),12,2,3,3,0,1,1,1,0.265461451,4.511633011,0.560277003,0.461828845,1.185971246,0.82569494,1.640781805,1.066623609,1.089772323,0.447254486,0.761061818,0.727851217,0.461829353,3.451531252,3.01410523,3.011466747,16.14311282,5.131649218,11.93377593,4.624109869,5.730775212,1.237687589,
臺中市西屯區市政路３８６號六樓之５,3163,106.27,住宅大樓(11層含以上有電梯),12,2,3,3,0,1,1,1,0.265461451,4.511633011,0.560277003,0.461828845,1.185971246,0.82569494,1.640781805,1.066623609,1.089772323,0.447254486,0.761061818,0.727851217,0.461829353,3.451531252,3.01410523,3.011466747,16.14311282,5.131649218,11.93377593,4.624109869,5.730775212,1.237687589,
臺中市西屯區福聯街７２號四樓之３７,182,8.63,華廈(10層含以下有電梯),28,1,0,1,1,1,1,1,0.344827585,8.19869381,4.698257905,4.196480088,3.31366921,4.950711465,5.875928709,0.434604276,2.092586629,0.616737509,0.916101002,0.770288002,4.196481709,1.865799801,3.561563286,3.630571396,12.08020439,1.018712699,9.255356133,0.698043895,8.272243317,2.609221609,
臺中市西屯區國安一路１６０號九樓之５,535,18.18,住宅大樓(11層含以上有電梯),15,2,0,1,1,1,1,1,0.119729558,8.853130218,4.793119647,4.312688031,3.445949007,4.951757542,5.923351845,1.107772202,2.211592516,0.0551342,0.520297671,0.465124639,4.312689367,2.521298573,2.819895862,4.327379979,12.34361378,1.45295444,8.54457816,1.254626364,8.860997827,2.589907201,
臺中市西屯區西安街１４３巷８號六樓之３,310,11.51,華廈(10層含以下有電梯),24,2,0,1,0,1,1,1,0.278179377,5.798461235,2.356037552,2.13978275,1.864980635,1.858969286,3.090023722,2.651097078,1.104024807,0.319320432,0.398677435,0.560961598,2.139782223,3.879438111,4.156136741,1.948250389,15.70222284,3.127110037,9.39576948,4.345048412,8.255360716,0.847741386,
臺中市西屯區西安街１８巷４８之２號,298,9.85,華廈(10層含以下有電梯),41,1,0,1,0,1,1,1,0.25266198,6.036074787,2.254761797,1.988850417,1.632012596,1.893501587,3.080531709,2.441620501,1.135457245,0.419183387,0.157836264,0.652479481,1.988850134,3.609123989,4.162817231,2.218273694,15.49973176,3.061193913,9.502406233,4.125106791,8.054203875,0.621267587,
臺中市西屯區長安路二段１３１巷１０８號二樓之３,1090,36.35,住宅大樓(11層含以上有電梯),8,1,1,2,2,2,1,1,0.113211567,3.674545021,2.584383216,2.831624046,2.768083568,0.554172879,1.907782817,0.361584223,1.665141703,0.390911857,0.343825532,0.672369086,2.831622006,5.8223192,4.602001695,1.449974417,16.62688988,5.282550317,10.57515257,2.950567666,8.598691327,2.943718967,
臺中市西屯區西屯路三段１６４之１７號九樓,888,40.62,住宅大樓(11層含以上有電梯),30,2,1,3,2,2,1,1,0.098838907,8.377032339,4.213927884,3.739779282,2.88246439,4.356431518,5.334498278,0.647280147,1.663199636,0.362620865,0.948788617,0.196737389,3.739780542,2.346074786,2.964405276,4.173463943,12.89964534,1.542451142,8.750480726,1.632509265,8.525824446,2.002957949,
臺中市西屯區國安一路６７之６號,1180,32.93,住宅大樓(11層含以上有電梯),14,1,1,2,2,1,1,1,0.135105371,8.681010022,4.60042161,4.119004435,3.251465401,4.771233295,5.733601309,0.91458814,2.016682455,0.171309949,0.706856162,0.271431439,4.11900578,2.387825582,2.92046452,4.204832634,12.48792835,1.533674424,8.669894234,1.297571362,8.698138267,2.422287464,
臺中市西屯區環中路二段１５７７號十二樓之２,1120,34.55,住宅大樓(11層含以上有電梯),3,3,1,2,2,1,1,1,0.364338755,6.254623541,1.810473532,1.366109163,0.657072059,1.992765476,2.921345334,1.994160494,0.936272255,0.678074966,0.571668905,0.646853063,1.366110044,2.700823457,4.468019102,3.208225173,15.01970737,3.372037728,10.25830499,3.645374033,7.092896341,0.114678225,
臺中市西屯區四川東街６９號五樓之２,368,14.13,華廈(10層含以下有電梯),30,1,1,1,1,1,1,1,0.049798971,4.38848972,0.94753168,1.317802003,2.033666828,0.356352866,0.921240945,1.811886115,1.077285957,0.372995639,0.107605841,0.488247207,1.317799784,4.644792914,3.278336506,2.734968547,17.19853529,5.247399522,11.45811785,3.371780927,6.95252837,2.281952178,
臺中市西屯區中康街１４３號四樓之３,740,40.94,華廈(10層含以下有電梯),30,1,2,2,2,1,1,1,0.292895596,4.597171886,4.350337174,4.312225337,4.222921514,2.847549238,4.455457413,1.883898502,2.071792797,0.170249352,0.422772464,2.138959542,4.312224165,6.102793592,4.086500058,1.10054315,15.64393966,3.353426493,8.037172729,5.286435206,10.48242628,0.960994145,
臺中市西屯區皇城街１９號十四樓之２,1300,55.89,住宅大樓(11層含以上有電梯),14,3,1,3,2,2,1,1,0.178099201,4.116360911,2.153096069,2.382644294,2.829733765,0.253939678,1.853901923,0.739373624,1.232185744,0.396655217,0.253939678,0.542623747,2.382642276,5.388506169,4.351062667,1.584689353,17.06016628,5.046889025,10.6234542,3.150841897,8.220078495,2.754411828,
臺中市西屯區青海路二段２８６號十三樓之２,150,5.62,住宅大樓(11層含以上有電梯),27,3,0,1,0,1,1,1,0.213629292,5.874126011,1.398998028,1.133472484,1.006134595,1.297811315,2.327807251,2.654510058,0.701034093,0.2497051,0.222720961,0.216652875,1.133472035,3.4595252,4.410612185,2.606628103,15.78511667,3.792995396,10.36559124,4.397123905,7.26309433,0.883739253,
臺中市西屯區國安一路２０８巷３０號四樓之３,696,40.02,住宅大樓(11層含以上有電梯),25,1,0,3,2,2,1,1,0.081841771,9.050921444,5.094676048,4.613634143,3.74571986,5.248387393,6.224913968,1.231895642,2.50978465,0.342291307,0.227056139,0.765953634,4.613635487,2.701595064,2.739056608,4.481902311,12.08790937,1.31882897,8.404098243,1.189655482,9.080994582,2.877314948,
臺中市西屯區寧夏東三街１６之１號二樓,750,35.5,華廈(10層含以下有電梯),31,1,1,3,2,2,1,1,0.177206976,4.086627392,1.875962041,2.22207362,2.542252792,0.418782047,1.24579331,0.91027096,1.440440521,0.242693506,0.352450359,0.136233046,2.222071422,5.458226327,3.745104354,2.214495675,17.39619128,5.527186069,11.2572301,2.730927062,7.754618561,2.963420188,
臺中市西屯區福瑞街７０號十五樓之３,788,38.01,住宅大樓(11層含以上有電梯),27,3,1,3,2,2,1,1,0.145719714,8.243223386,4.899401755,4.396762092,3.514062108,5.154211009,6.078895337,0.394615213,2.296186488,0.795601525,0.850422006,0.928160644,4.396763733,1.959569936,3.576919744,3.685169552,11.87702925,0.816652907,9.229424676,0.510202024,8.377026175,2.814678061,
臺中市西屯區逢大路５７號十三樓之５,1300,56.57,住宅大樓(11層含以上有電梯),16,3,1,3,2,2,1,1,0.116067012,5.390664001,1.791776676,1.700735527,1.735537953,1.143905524,2.392082575,2.093573677,0.404626847,0.773000187,0.51235458,0.780447316,1.700734388,4.121379189,4.682069918,1.88145725,16.25328452,3.838629696,10.02562269,4.441567342,7.873211104,1.395784219,
臺中市西屯區朝富路２１３號十九樓之２,3900,97.62,住宅大樓(11層含以上有電梯),6,3,2,4,0,1,1,1,0.24919957,4.992415303,0.977536045,0.513973627,0.63581793,1.348906687,2.168304933,1.538599713,1.475299357,0.192627346,0.648218201,0.886785756,0.513975854,2.903839823,3.581557348,3.579033039,15.57875801,4.611272357,11.52391255,4.411315487,5.926291098,0.66692432,
臺中市西屯區市政北一路２６９號七樓之６,1460,42.96,住宅大樓(11層含以上有電梯),15,2,1,3,2,2,1,1,0.310365923,4.745866864,0.688548818,0.345779235,0.92034509,1.081112983,1.85286276,1.288168413,1.352002549,0.265647082,0.696846842,0.783228803,0.345780916,3.220588136,3.278157647,3.27555158,15.90389184,4.878716929,11.72099211,4.744200332,5.847806676,0.990535547,
臺中市西屯區福瑞街１１６號十二樓之１,640,44.14,住宅大樓(11層含以上有電梯),27,3,1,5,1,2,1,1,0.164904088,8.356533661,4.927824111,4.427327142,3.54457202,5.175639252,6.102003947,0.510229907,2.318370399,0.753450953,0.737042505,0.868633792,4.427328745,2.062171781,3.462283716,3.796809961,11.89320311,0.845895502,9.114224658,0.571978103,8.477731058,2.827023703,
臺中市西屯區文心路三段１２９巷８號二樓之８,670,26.19,華廈(10層含以下有電梯),28,1,0,2,1,1,1,1,0.06405896,4.72841937,1.383068852,1.609010985,2.127295648,0.260096296,1.465436715,1.448130613,0.71256497,0.370174202,0.114271856,0.629693823,1.609008924,4.73099957,3.851003348,2.153920916,17.13421478,4.884596184,10.91599172,3.461673414,7.500322261,2.216335721,
臺中市西屯區黎明路三段３９８號三樓之５,888,28.7,住宅大樓(11層含以上有電梯),7,1,1,1,1,1,1,1,0.218268184,6.226568014,2.650559969,2.358725035,1.903392502,2.292548141,3.489122975,2.255776705,1.532634875,0.502872641,0.537989614,0.353438517,2.358724931,3.59611203,3.753682786,2.28877907,15.24165541,2.666436593,9.121887262,3.907008445,8.352311695,0.492996279,
臺中市西屯區文心路二段５６６之１５號九樓之２,1215,43.23,住宅大樓(11層含以上有電梯),16,2,0,2,2,2,1,1,0.169025626,4.15926554,0.361082272,0.839764929,1.722308303,0.457524257,0.933554796,1.187278579,0.924527282,0.3457533,0.457524257,0.704398544,0.839763368,4.144341928,2.664964847,2.661970386,16.82573732,5.497361324,12.07543879,3.917757576,5.989616603,1.912450173,
臺中市西屯區青海路二段１９３巷９之４號,400,15.97,華廈(10層含以下有電梯),30,1,0,1,1,1,1,1,0.177165724,5.274517408,0.88592846,0.831373323,1.218257863,0.77054469,1.710171725,2.240268266,0.582190109,0.227241235,0.586218677,0.834550362,0.831371772,3.82791509,3.848471979,2.67886349,16.3032344,4.406703528,10.87828079,4.262515789,6.979641535,1.372324251,
臺中市西屯區崇義街６之５號二樓之３,356,14.12,華廈(10層含以下有電梯),30,1,0,2,0,2,1,1,0.234956232,5.567559269,1.469208246,1.361098064,1.450679167,0.984323685,2.168461942,2.21308574,0.257500371,0.438771383,0.25410599,0.599650061,1.361096928,3.926888862,4.402771916,2.197864532,16.19511283,3.975263801,10.31027075,4.423899574,7.533663692,1.343450104,
臺中市西屯區西安街１３０巷１０號三樓之１５,169,7.42,華廈(10層含以下有電梯),28,1,0,1,0,1,1,1,0.301754395,5.827881458,2.251484506,2.029442694,1.758163934,1.786140048,3.00579282,2.64612787,1.027334366,0.430785503,0.305540684,0.652567699,2.029442187,3.812468922,4.235370537,2.016290492,15.69662666,3.182311518,9.498868166,4.327780666,8.144056357,0.823068169,
臺中市西屯區西安街１３０巷１０號六樓之２６,169,7.42,華廈(10層含以下有電梯),28,2,0,1,0,1,1,1,0.301754395,5.827881458,2.251484506,2.029442694,1.758163934,1.786140048,3.00579282,2.64612787,1.027334366,0.430785503,0.305540684,0.652567699,2.029442187,3.812468922,4.235370537,2.016290492,15.69662666,3.182311518,9.498868166,4.327780666,8.144056357,0.823068169,
臺中市西屯區長安路二段２６之６號,1360,56.29,華廈(10層含以下有電梯),30,2,0,5,3,5,1,1,0.16682474,4.056712916,2.144618927,2.402046098,2.82743811,0.201211238,1.717057811,0.666181929,1.316092003,0.276148506,0.201211238,0.439579391,2.402044025,5.463216756,4.252782036,1.69633324,17.0669284,5.183472206,10.75520744,3.015174902,8.172772298,2.872518,
臺中市西屯區市政北一路２６９號十一樓之１,1280,34.47,住宅大樓(11層含以上有電梯),15,3,1,2,2,1,1,1,0.310365923,4.745866864,0.688548818,0.345779235,0.92034509,1.081112983,1.85286276,1.288168413,1.352002549,0.265647082,0.696846842,0.783228803,0.345780916,3.220588136,3.278157647,3.27555158,15.90389184,4.878716929,11.72099211,4.744200332,5.847806676,0.990535547,
臺中市西屯區文心路三段６號二十五樓之１２,845,32.75,住宅大樓(11層含以上有電梯),12,3,1,1,1,1,1,1,0.28410179,4.5355765,0.615345945,0.997609655,1.760482434,0.238118262,0.947832204,1.879718183,1.102064728,0.388443895,0.184390647,0.72494727,0.997607432,4.354409263,3.177993188,2.958422634,16.94675323,5.166412668,11.53037797,3.642740025,6.682799747,2.069596307,
臺中市西屯區四川東街６９號六樓之１,390,14.86,華廈(10層含以下有電梯),30,2,1,1,1,1,1,1,0.049798971,4.38848972,0.94753168,1.317802003,2.033666828,0.356352866,0.921240945,1.811886115,1.077285957,0.372995639,0.107605841,0.488247207,1.317799784,4.644792914,3.278336506,2.734968547,17.19853529,5.247399522,11.45811785,3.371780927,6.95252837,2.281952178,
臺中市西屯區漢翔路１３５號八樓之６,1240,35.64,住宅大樓(11層含以上有電梯),1,2,1,2,1,1,1,1,0.15977433,5.927879071,2.681570063,2.44298124,2.08934533,2.18957393,3.426044252,2.565714801,1.438061618,0.192938097,0.623064071,0.224576887,2.442980854,3.904256451,3.82415772,1.974337863,15.52255111,2.826398421,9.06822228,4.207212166,8.518991326,0.801877462,
臺中市西屯區環中路三段６３號四樓之１,1340,47.86,住宅大樓(11層含以上有電梯),5,1,1,3,2,2,1,1,0.197213452,6.017992708,1.673183137,1.195197896,0.393348159,1.903393655,2.830174298,2.069792813,0.955207446,0.957397897,0.645313357,0.815620556,1.195199118,2.573441682,4.207687681,3.424723646,15.01394127,3.589246165,10.5237567,3.674628022,6.812535896,0.219700341,
